modern-languages-hindi,111,First-Semester Hindi-Urdu,b''
modern-languages-hindi,112,Second-Semester Hindi-Urdu,b''
modern-languages-hindi,211,Third-Semester Hindi-Urdu,b'Indian civilization. Practice in conversational Hindi-Urdu. Writings exercises involving more complex grammatical patterns.'
modern-languages-hindi,212,Fourth-Semester Hindi-Urdu,b'lving specialized topics. Advanced readings in Hindi. Frequent compositions. Satisfactory completion of LN 212 fulfills the CAS language requirement This course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy.'
modern-languages-hindi,225,Tradition and Modernity in Indian Film and Literature (in English translation),"b'ected works from modern Indian literature,   Bollywood films, and other forms of popular cultural texts. No prior knowledge of Hindi or Urdu   required. Also offered as CAS CI 390 F1.'"
modern-languages-hindi,260,Gateway to Asian Cultures,"b'hina, Japan, Korea, Vietnam, India). Examines shared   foundations, transformative inflection points, sites, peoples, and   ideologies over the past two millennia through primary texts and media.   Carries humanities divisional credit in CAS. This course fulfills a single  unit in  each of the following BU Hub areas: Aesthetic Exploration, Global   Citizenship and Intercultural Literacy.'"
modern-languages-hindi,303,Modern Hindi Literature and Culture,"b'idioms. Exposure to  literature, media and other cultural materials.'"
modern-languages-hindi,470,Topics in South Asian Literature and Culture,"b', poetry, and drama in English translation. Students also learn the basic  fundamentals of the language, including the Devanagari script, in order to be able to read  simple texts in the original.'"
modern-languages-hindi,491,Directed Study: Hindi-Urdu,b''
modern-languages-hindi,492,Directed Study: Hindi-Urdu,b''
modern-languages-hindi,493,Directed Study in Sanksrit,b'Study will be offered for 4.0 credits only.'
